"id","cid","smiles","molecular_weight","new_average_distance"
22871500,45794079,"CC(C)OCCCNC(=O)C1=CC=C(C=C1)N(C)C","264.183778008","0.53815967"
22871671,45794259,"CC(C)(C)NCC(=O)NCCCC1=CC=CC=C1","248.188863388","0.52243567"
22872216,45794819,"CCC(C)(C)NCC(=O)NCCCC1=CC=CC=C1","262.204513452","0.51091427"
22872255,45794858,"CCN(CC)CC(=O)NCCCC1=CC=CC=C1","248.188863388","0.52794325"
22793206,45603979,"CC1=CC(=NC(=N1)SCC(=O)OCC(=O)C2=CC=C(C=C2)C(C)(C)C)C","372.150763628","0.5139983"
22793211,45604071,"CC1=CC(=NC(=N1)SCC(=O)OCC(=O)C2=CC=C(C=C2)NC(=O)C)C","373.109627088","0.5841662"
22943000,45866482,"CCCCCC(=O)NCCC1=CC=C(C=C1)C(=O)OC","277.167793596","0.51966095"
22976717,45900424,"CCC(C)NC(=O)C1=CC=C(C=C1)CNC(=O)/C=C/C2=CC=CC=C2","336.183778008","0.6351086"
22976922,45900630,"C1=CC=C(C=C1)CCC(=O)NCCC2=CC=C(C=C2)OC(F)(F)F","337.128963476","0.53702897"
22978599,45902346,"COCCCC(=O)NC1=NC(=CS1)C2=CC3=CC=CC=C3C=C2","326.108898816","0.50193554"
22876477,45799121,"CC(C1=CC=CC=C1)NC(=O)CCCC2=NC(=NO2)C3=CC=CC=C3","335.163376912","0.52749544"
22877681,45800336,"CC1=NC(=CC=C1)NC(=O)CCCC2=NC(=NO2)C3=CC=CC=C3","322.142975816","0.5463325"
22878271,45800931,"C1=CC=C(C=C1)CN(CCC(=O)NC(=O)N)CC2=CC=CC=C2","311.163376912","0.5070587"
22881645,45804329,"C1=CC=C(C=C1)C(=O)NCC2=CC=C(C=C2)NC(=O)N","269.11642672","0.5153831"
22881941,45804628,"CCCCC(=O)NCCC1=CC=C(C=C1)C(=O)OC","263.152143532","0.5289625"
22883410,45806100,"C1=CC(=CN=C1)/C=C/C(=O)NCC2=CC=C(C=C2)F","256.101191256","0.5156509"
22883411,45806101,"CC1=CC=C(C=C1)CNC(=O)/C=C/C2=CN=CC=C2","252.126263132","0.5052454"
22943106,45866588,"CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=C(C=C3)C(=O)N4CCOCC4","448.21105537599993","0.5026266"
22943152,45866635,"C1=CC=C(C(=C1)NCC2=NC(=NO2)C3=CC=C(C=C3)C(F)(F)F)F","337.083824852","0.50078714"
22944745,45868238,"C1=CC=C(C=C1)CNC(=O)/C=C/C2=CN=CC=C2","238.110613068","0.5364128"
22947652,45871161,"CC(C)(C)OC(=O)NC1=CC=C(C=C1)CC(=O)NC2=NC(=CS2)C3=CC(=CC=C3)F","427.136590784","0.53743505"
22949490,45873010,"COC1=CC=C(C=C1)C2=NOC(=N2)CNC(=O)C(=O)NCC3=CC=CC=C3","366.132805056","0.50962985"
22958963,45882573,"CCOCCCNC(=O)C1=NOC(=C1)C2=CC(=CC=C2)Cl","308.092770084","0.5008962"
22986813,45910750,"CCN1C=C(C=CC1=O)NC(=O)/C=C/C2=CN(N=C2C3=CN=CC=C3)C4=CC=CC=C4","411.16952491200004","0.55491924"
22992420,45916450,"C1=CC=C(C=C1)OCC2=CC=CC=C2NC(=O)CCC3=NC(=NO3)C4=CC=C(C=C4)Cl","433.11931918","0.52378446"
22959709,45883320,"CCCCCC1=CC=C(C=C1)NC(=O)CCNC(=O)OCC","306.194342692","0.5198919"
22961140,45884755,"C1=CC=C(C=C1)CCC(=O)NCCC2=CC=CC3=CC=CC=C32","303.162314292","0.51173866"
22966648,45890283,"CCCN(CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NCC(=O)OC","383.18450627999994","0.5148154"
23001189,45926380,"C1=CC(=CC=C1/C=N/NC(=O)CCCO)Cl","240.066555336","0.5028622"
22967025,45890661,"CCCN(CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NC(C)(C)C","367.225977168","0.5327639"
22968751,45892392,"CC1=C(C=CC(=C1)C(=O)NC)NC(=O)C2=CC=C(C=C2)NC(=O)C","325.142641468","0.50094277"
22968881,45892522,"C1=CC=C(C=C1)NC(=O)C2=CC=CC(=C2)CNC(=O)/C=C/C3=CC=C(C=C3)F","374.143056068","0.5101248"
22968893,45892534,"C1=CC=C(C=C1)NC(=O)C2=CC=CC(=C2)CNC(=O)C3=CC=C(C=C3)F","348.127406004","0.5018176"
22969216,45892857,"COC1=CC=C(C=C1)/C=C/C(=O)NCC2=CC=C(C=C2)N3C=CC=N3","333.14772684800005","0.5053733"
22970923,45894569,"C1=CC=C(C=C1)NC(=O)C2=CC=CC(=C2)CNC(=O)C3=CC=CC(=C3)C(=O)N","373.142641468","0.51253945"
22971638,45895295,"CCC(C1=CC=CC=C1)C(=O)NC2=CC(=C(C=C2)OC)NC(=O)C3=CC(=CC=C3)F","406.169270816","0.5260971"
23136456,46105762,"C1=CC=C(C=C1)CCN(CCC2=NC(=NO2)C3=CC=C(C=C3)C(F)(F)F)C(=O)CCCCCN","474.224260828","0.52356535"
23147062,46134720,"CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3CC4=CC=CC=C4)C5=CC=NC=C5)C","505.1936314840001","0.54891276"
23147063,46134721,"C1=CC=C(C=C1)CN2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)F)C5=CC=NC=C5","509.168559608","0.53938717"
23147064,46134742,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC(C)C)C4=CC=NC=C4","457.19363148400004","0.546878"
23147065,46134743,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC4=CC=CO4)C5=CC=NC=C5","481.157245976","0.50915635"
23147066,46134746,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)OC)C5=CC=NC=C5","507.17289604","0.51638824"
23147067,46134747,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4CC4)C5=CC=NC=C5","441.16233135600004","0.5386788"
23147097,46134819,"CC1=CC=C(C=C1)C2=NN=C(N2C3=CC=CC(=C3)C)SCC4=CC=C(C=C4)C(=O)NCC5=CC=NC=C5","505.19363148400004","0.51089793"
23147101,46134832,"C1CC1NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3C4=CC(=CC=C4)Cl)C5=CC=NC=C5","461.10770894","0.5085527"
23147102,46134834,"CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(C)C)C4=CC=NC=C4","457.19363148400004","0.5828567"
23147103,46134835,"CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)C)C)C4=CC=NC=C4","443.17798142000004","0.5828567"
23147123,46134877,"CC1=CC(=CC=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)F)C5=CC=NC=C5","509.168559608","0.51053"
23160898,46174525,"CC1=CC=C(C=C1)C(=O)NCCCCCC(=O)NC2=C(C=C(C=C2)F)N","357.185255228","0.56278867"
23029049,45969232,"C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)NC(=O)C4=CC=C(C=C4)F","387.13830503599996","0.59188837"
