"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
2398805,2849348,"COC1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)C=CC(=O)C3=CC=C(C=C3)OC","398.15180918399994","0.5315636","0.5289871"
2399112,2849670,"CCN(CC)C1=CC=C(C=C1)C=NNC(=O)CCCCCCCC(=O)NN=CC2=CC=C(C=C2)N(CC)CC","534.368224712","0.5278666","0.5278666"
2399922,2850506,"CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)I","365.027662132","0.50641024","0.50521976"
2400956,2851575,"C1=CC=C(C=C1)CCC(=O)NNC(=O)C=CC2=CC=CC=C2","294.136827816","0.48250324","0.5104253"
2401031,2851652,"CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)Cl","273.092041812","0.5173193","0.5161289"
2401133,2851758,"CCCCCCCCC(=O)NN=CC1=CC=C(C=C1)Cl","294.14989103600004","0.5278666","0.5278666"
2401160,2851785,"COC1=CC=C(C=C1)C=CC(=O)NC2=C(C(=C(C(=C2F)F)F)F)F","343.06316966","0.54217416","0.54217416"
2469506,2921735,"COC1=CC=C(C=C1)C=C(C(=O)OC)NC(=O)C=CC2=CC=CC=C2","337.131408088","0.49765986","0.5014694"
2401729,2852371,"COC1=CC=C(C=C1)C=CC(=O)NCC2=CC=CC=C2OC","297.136493468","0.5632237","0.5441005"
2401825,2852470,"CCC(C1=CC=CC=C1)C(=O)NC2=CC(=C(C=C2)Cl)Cl","307.05306946","0.5021326","0.5021326"
2469875,2922112,"CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3CCCCC3)C)NC(=O)C4CCCCC4","432.277678392","0.53073394","0.545938"
2401977,2852626,"CN(C)C1=CC=C(C=C1)C=NNC(=O)CCCCCCC(=O)NN=CC2=CC=C(C=C2)N(C)C","464.28997439200003","0.55118173","0.56133837"
2323847,2770989,"CC1=C(C2=CC=CC=C2N1)CCNCC3=CN=CC=C3.Cl.Cl","337.111253032","0.50676197","0.5233945"
2323852,2770994,"CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=NC=C3.Cl.Cl","337.111253032","0.54128164","0.5457906"
2323984,2771127,"C1CN(C(C2=CC=CC=C21)C3=CC=NC=C3)CC(=O)O","268.121177752","0.5414938","0.51038593"
2323985,2771128,"C1CN(C(C2=CC=CC=C21)C3=CC=NC=C3)CCC(=O)O","282.136827816","0.59559774","0.59916914"
2475385,2927686,"CC1=CC(=NC(=N1)SCC(=O)NC2=CC=C(C=C2)OC)C","303.104147784","0.52596974","0.52457845"
2324454,2771601,"C1=CC=C(C=C1)C=NNC(=O)CC(=O)NO","221.080041212","0.58246046","0.5803328"
